
Date: 03-4-2020	Time: 12:42:54
AI Snake 1:	7
AI Snake 2:	7
AI Snake 3:	11
AI Snake 4:	7
AI Snake 5:	12
AI Snake 6:	9
AI Snake 7:	4
AI Snake 8:	7
AI Snake 9:	10
AI Snake 10:	7
AI Snake 11:	8
AI Snake 12:	7
AI Snake 13:	8
AI Snake 14:	11
AI Snake 15:	8
AI Snake 16:	3
AI Snake 17:	6
AI Snake 18:	8
AI Snake 19:	12
AI Snake 20:	6
AI Snake 21:	14
AI Snake 22:	11
AI Snake 23:	8
AI Snake 24:	4
AI Snake 25:	3
AI Snake 26:	7
AI Snake 27:	11
AI Snake 28:	5
AI Snake 29:	10
AI Snake 30:	10
AI Snake 31:	10
AI Snake 32:	10
AI Snake 33:	14
AI Snake 34:	12
AI Snake 35:	6
AI Snake 36:	13
AI Snake 37:	9
AI Snake 38:	5
AI Snake 39:	9
AI Snake 40:	12
AI Snake 41:	4
AI Snake 42:	3
AI Snake 43:	8
AI Snake 44:	2
AI Snake 45:	8
AI Snake 46:	6
AI Snake 47:	7
AI Snake 48:	2
AI Snake 49:	8
AI Snake 50:	9
AI Snake 51:	5
AI Snake 52:	6
AI Snake 53:	3
AI Snake 54:	8
AI Snake 55:	10
AI Snake 56:	7
AI Snake 57:	4
AI Snake 58:	5
AI Snake 59:	12
AI Snake 60:	7
AI Snake 61:	8
AI Snake 62:	10
AI Snake 63:	2
AI Snake 64:	6
AI Snake 65:	12
AI Snake 66:	5
AI Snake 67:	5
AI Snake 68:	5
AI Snake 69:	9
AI Snake 70:	6
AI Snake 71:	3
AI Snake 72:	1
AI Snake 73:	3
AI Snake 74:	4
AI Snake 75:	1
AI Snake 76:	7
AI Snake 77:	2
AI Snake 78:	2
AI Snake 79:	6
AI Snake 80:	6
AI Snake 81:	2
AI Snake 82:	5
AI Snake 83:	7
AI Snake 84:	6
AI Snake 85:	3
AI Snake 86:	8
AI Snake 87:	2
AI Snake 88:	3
AI Snake 89:	3
AI Snake 90:	7
AI Snake 91:	7
AI Snake 92:	9
AI Snake 93:	3
AI Snake 94:	1
AI Snake 95:	8
AI Snake 96:	1
AI Snake 97:	2
AI Snake 98:	5
AI Snake 99:	6
AI Snake 100:	7

Date: 10-4-2020	Time: 12:46:09
AI Snake 1:	57
AI Snake 2:	47
AI Snake 3:	63
AI Snake 4:	44
AI Snake 5:	48

Date: 10-4-2020	Time: 13:49:44
AI Snake 1:	28
AI Snake 2:	23
AI Snake 3:	24
AI Snake 4:	17
AI Snake 5:	22

